effective_date,ticker,selection_rank,selection_score,avg_dollar_volume_60,close,universe_age_days
2021-06-30,CRM,13,1309275114.3001556,1309275114.3001556,241.3376922607422,1275.0
2021-06-30,C,14,1244027214.4688797,1244027214.4688797,59.788177490234375,1275.0
2021-06-30,XOM,15,1199659687.4655979,1199659687.4655979,52.84306335449219,1275.0
2021-06-30,MA,16,1147887835.3236897,1147887835.3236897,355.2355041503906,1275.0
2021-06-30,HD,17,1135909624.803772,1135909624.803772,283.6855163574219,1275.0
2021-06-30,UNH,18,1109719072.0547485,1109719072.0547485,368.90057373046875,1275.0
2021-06-30,ADBE,19,1091218010.7132976,1091218010.7132976,585.6400146484375,1275.0
2021-06-30,PG,20,1053909447.0355097,1053909447.0355097,119.69801330566406,1275.0
2021-06-30,QCOM,21,1032186762.6702881,1032186762.6702881,128.7791290283203,1275.0
2021-06-30,JNJ,22,1014197477.216746,1014197477.216746,143.94984436035156,1275.0
2021-06-30,T,23,1012360794.7718048,1012360794.7718048,16.069988250732422,1275.0
2021-06-30,GS,24,912762935.9604391,912762935.9604391,337.7119140625,1275.0
2021-06-30,ORCL,25,881456776.9645437,881456776.9645437,73.00511932373047,1275.0
2021-06-30,CSCO,26,859504040.665156,859504040.665156,46.18629837036133,1275.0
2021-06-30,CVX,27,840443452.8799311,840443452.8799311,86.09422302246094,1275.0
2021-06-30,TMO,28,837449267.4938965,837449267.4938965,497.9627380371094,1275.0
2021-06-30,MRK,29,818348557.7845337,818348557.7845337,67.0167236328125,1275.0
2021-06-30,PFE,30,813719798.128179,813719798.128179,30.807703018188477,1275.0
2021-07-30,AMZN,1,12044637290.327963,12044637290.327963,166.37950134277344,1305.0
2021-07-30,AAPL,2,10831703786.51497,10831703786.51497,142.30831909179688,1305.0
2021-07-30,NVDA,3,7179844733.833758,7179844733.833758,19.454437255859375,1305.0
2021-07-30,MSFT,4,6131920273.790868,6131920273.790868,274.0194091796875,1305.0
2021-07-30,META,5,5442243442.326813,5442243442.326813,353.52569580078125,1305.0
2021-07-30,AMD,6,3867463886.521708,3867463886.521708,106.19000244140625,1305.0
2021-07-30,GOOGL,7,3360875274.7301736,3360875274.7301736,133.6221160888672,1305.0
2021-07-30,BA,8,2946812877.5407157,2946812877.5407157,226.47999572753906,1305.0
2021-07-30,JPM,9,1968352923.6808777,1968352923.6808777,135.2235107421875,1305.0
2021-07-30,NFLX,10,1795095979.6019871,1795095979.6019871,51.75699996948242,1305.0
2021-07-30,DIS,11,1550787897.7316284,1550787897.7316284,171.97019958496094,1305.0
2021-07-30,CRM,12,1436873323.553238,1436873323.553238,239.02577209472656,1305.0
