date,base_value,soft_price_value,with_llm_short_value,with_llm_swing_value,with_llm_long_value,benchmark_value
2025-07-28,130497.00771967472,139223.55384660533,139223.55384660533,139223.55384660533,139223.55384660533,116199.04042766528
2025-07-29,129816.96823744819,138498.03902349947,138498.03902349947,138498.03902349947,138498.03902349947,115892.55423785372
2025-07-30,130900.0124605339,139653.50816678384,139653.50816678384,139653.50816678384,139653.50816678384,115746.60150064915
2025-07-31,134588.66027874517,143588.82183499506,143588.82183499506,143588.82183499506,143588.82183499506,115312.40526594534
2025-08-01,129849.21937810798,138532.44685013645,138532.44685013645,138532.44685013645,138532.44685013645,113422.3884309304
2025-08-04,132289.466609559,141135.87736370624,141135.87736370624,141135.87736370624,141135.87736370624,115146.39564603279
2025-08-05,131278.66017569767,140057.47666753476,140057.47666753476,140057.47666753476,140057.47666753476,114562.60709462687
2025-08-06,133611.0280647576,142545.81377247567,142545.81377247567,142545.81377247567,142545.81377247567,115440.1153108376
2025-08-07,133956.09488848006,142913.955773221,142913.955773221,142913.955773221,142913.955773221,115343.42568197058
2025-08-08,134458.16349744407,143449.59852270797,143449.59852270797,143449.59852270797,143449.59852270797,116242.81616999114
2025-08-11,133995.26843037203,142955.74891326507,142955.74891326507,142955.74891326507,142955.74891326507,116012.95152763245
2025-08-12,135687.3382881331,144760.97022117628,144760.97022117628,144760.97022117628,144760.97022117628,117248.02323238799
2025-08-13,134909.2441627836,143930.84368225196,143930.84368225196,143930.84368225196,143930.84368225196,117649.38486067089
2025-08-14,136309.9521388842,145425.21926788162,145425.21926788162,145425.21926788162,145425.21926788162,117660.32599657583
2025-08-15,135337.311413014,144387.53648236918,144387.53648236918,144387.53648236918,144387.53648236918,117384.84902408332
2025-08-18,135433.4328341428,144490.08569850973,144490.08569850973,144490.08569850973,144490.08569850973,117359.31597406979
2025-08-19,132058.03527014764,140888.96983603673,140888.96983603673,140888.96983603673,140888.96983603673,116722.61353612265
2025-08-20,130723.81155768452,139465.5244243645,139465.5244243645,139465.5244243645,139465.5244243645,116412.47656810738
2025-08-21,130155.66394644613,138859.3838627665,138859.3838627665,138859.3838627665,138859.3838627665,115945.45692568876
2025-08-22,132412.8338174842,141267.49433650594,141267.49433650594,141267.49433650594,141267.49433650594,117726.00640812378
2025-08-25,132453.20062723127,141310.56054015792,141310.56054015792,141310.56054015792,141310.56054015792,117207.88706955967
2025-08-26,133205.63255636807,142113.30881027243,142113.30881027243,142113.30881027243,142113.30881027243,117698.63677030226
2025-08-27,133796.25857731528,142743.43094921974,142743.43094921974,142743.43094921974,142743.43094921974,117966.81218638738
2025-08-28,135022.13419284488,144051.28285134575,144051.28285134575,144051.28285134575,144051.28285134575,118384.57991917462
2025-08-29,131891.5640957451,140639.34082332824,140639.34082332824,140639.34082332824,140639.34082332824,117678.5686888881
2025-09-02,131050.2280338129,139937.6151599953,139937.6151599953,139937.6151599953,139937.6151599953,116806.54783868905
2025-09-03,133323.17331595597,143596.33936945748,143596.33936945748,143596.33936945748,143596.33936945748,117439.57710102022
2025-09-04,135614.8905515826,144722.5717244599,144722.5717244599,144722.5717244599,144722.5717244599,118421.07650250536
2025-09-05,133517.42934194565,142984.94298926776,142984.94298926776,142984.94298926776,142984.94298926776,118078.09372936303
