date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,tcn_walkforward_value,hybrid_sequence_walkforward_value,lstm_walkforward_value,transformer_walkforward_value,benchmark_value
2025-08-06,109830.19235994713,120340.85944391953,113444.10976637367,117223.99939308487,111052.13533549232,113367.8844343885,111605.9375093859,115838.91036741005,112242.3238307284
2025-08-07,110370.62913652646,121061.73815118808,113839.72395633976,117688.9156444189,111582.84221366714,114350.15747169289,112003.84576914621,116064.60529478721,112148.31258857793
2025-08-08,111107.71238245525,122152.81006241507,114475.58197587678,118397.75577606933,112392.41378542435,115654.24526241588,112733.4962262178,116832.03523593258,113022.7891787551
2025-08-11,111008.71121228095,121677.40170458626,114391.96301408972,118118.62859023729,111901.83307616864,115068.4961796166,112532.30433573351,116805.13817087203,112799.29198667948
2025-08-12,112319.75011737274,123760.64374967907,116231.6900759556,120474.27152986018,113409.52537428093,116887.65835235127,114329.32552843218,118577.93740895935,114000.15113227256
2025-08-13,111615.62088295737,122779.52607183653,115842.922015797,119743.16496047583,113164.52077045917,117266.46602123523,114217.40448343924,118096.44096635419,114390.39469477817
2025-08-14,112069.48434167124,122529.4444258298,115999.1752286185,119772.21644907717,113235.3678229397,116981.18208853043,114671.21701920073,118352.055337433,114401.03275171368
2025-08-15,111583.6146972851,121521.55672355897,115404.86535959877,119112.94624641932,112553.50109284213,116056.58148722115,114080.3375068729,117442.86375223243,114133.18673067361
2025-08-18,111564.6440677657,121243.41074753391,115202.64118405257,118683.0717090623,112238.37675453452,115688.30653742017,113804.20138280423,117418.35308287661,114108.36096832673
2025-08-19,108471.75099478297,117638.6960011243,112485.97949172872,115008.23829015964,109112.37112084567,113485.59111804917,110509.22941382435,114280.54857589786,113489.29574103162
2025-08-20,107744.27593812621,117421.77753326502,112433.01203198772,114710.4250498761,108706.9036200377,113311.80776742424,109768.79396051694,113801.66354454051,113187.74983645488
2025-08-21,107436.42993107624,116937.34229674979,112057.79123503152,114165.29314567902,108092.41672221421,112858.64288396905,109121.59154719299,113348.04517746206,112733.66704384406
2025-08-22,109131.79114957181,118532.96968629956,113744.1893591472,116158.1367639712,109955.09054917481,115064.05723090623,111624.54738524416,115540.21086819073,114464.89375880337
2025-08-25,108907.53513262312,117995.97919794975,112967.00001503533,115610.93213755505,109313.52624042121,114619.24479088675,111387.16818453284,115232.50487796655,113961.12677602202
2025-08-26,109673.36869324307,119707.3737788076,114498.58282954144,117220.23122123939,110356.3831316522,115848.86255085985,112059.80850719626,115978.17884587772,114438.2822837263
2025-08-27,110030.23302168968,119843.89686342205,114823.64205124986,117357.15509246154,110558.93757521675,115871.27334996694,112220.60578837982,116407.05696157219,114699.02900781452
2025-08-28,111273.95198807384,120984.99286586429,115763.82358588549,118299.97934419195,111331.37051424189,116386.95904331977,113376.51670925035,117548.66650817379,115105.22421147722
2025-08-29,108710.45040498317,118100.89897471023,113768.16661938869,115483.59253678324,108869.31934138901,115115.17434119826,110622.10549356545,115103.69425837077,114418.77010560103
2025-09-02,107994.36950136989,117597.60146812753,113270.78166586674,115114.54002180664,108413.37580128048,114795.6595845412,110263.07920930121,114638.59699962499,113570.90499050093
2025-09-03,108486.17881139355,117602.73975752397,112163.55344723002,114701.8161206802,107942.57384265086,114380.6581949079,108989.00467066976,115004.43970924593,114186.39879233563
2025-09-04,109086.09413198491,118640.25294303773,112695.91105153483,115623.98743466151,108242.1569176249,114910.40791586989,109260.29107468257,115110.18038678443,115140.70980774413
2025-09-05,108658.34424130016,117986.57988603889,111372.39384614746,115650.6388072323,107517.88805340738,113872.44977936023,107625.62401288225,114524.53504087466,114807.2279553764
2025-09-08,108801.35584285749,118622.12483892309,111725.35611587841,116089.68918470408,107839.17656392645,114447.38739912161,107704.4032585079,115001.39200256756,115089.27257032011
2025-09-09,110739.35316265926,119204.49677169713,112471.66256119548,116364.76502859894,108015.07747861743,114724.31926425273,108258.97005327579,115670.76222131871,115355.33287862995
2025-09-10,111016.1631148163,121346.412780856,112064.83401118903,117701.19617472796,110673.43118510065,117479.34358363962,108824.22499736013,118472.48486469121,115688.80384250541
2025-09-11,112016.63040918169,120473.58335232225,112081.04011033101,116310.32644989266,110087.94275176224,116365.24652168025,109014.03534245698,117734.94862361727,116650.21415486578
