date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,tcn_walkforward_value,hybrid_sequence_walkforward_value,benchmark_value
2025-07-14,104185.57316801992,115445.60006239403,112124.66172942938,113271.57004973873,109303.52764355298,107908.40280138302,110824.66077562065
2025-07-15,105725.01840226146,116166.78366523763,111829.95552161791,113718.10248479615,110143.07527124856,108776.77668496246,110351.08261524454
2025-07-16,106350.80988373376,116682.51882955657,111771.41604649658,113849.35236237226,110515.09615069066,109217.62577388763,110720.0151910851
2025-07-17,107464.97071019457,117390.40258186028,112355.24080459279,114282.52520285589,111926.60782151576,109856.89924715606,111397.5820130234
2025-07-18,106233.2017422021,117117.50913213291,111695.55867056173,114154.5686042595,110842.05211704518,109607.26116567024,111315.99743650429
2025-07-21,106647.96186053271,117331.08753924113,112336.17188367648,114469.61071583748,111094.98128835787,109751.35306296253,111527.07425492139
2025-07-22,104608.59059959497,115621.79461699816,110891.5850004071,112979.2718433099,109288.9953975155,108063.48675538646,111543.03621797716
2025-07-23,105976.35173247973,117565.19129495378,112339.57148335107,114678.55681982863,110771.45821088938,109807.72453700984,112491.98907618117
2025-07-24,106968.96907745628,118203.98298666682,112700.54061680552,115385.04664589748,111337.78136634316,110598.237963321,112529.2263979075
2025-07-25,107687.08292573746,118923.93079018843,113369.42457074043,116033.94997397263,111963.02975310737,111267.6417384614,113004.59020762956
2025-07-28,108707.65179411415,119533.1013299253,113468.19212938803,116448.39373033724,112528.33361794338,111955.81766465836,112976.21580399835
2025-07-29,108924.30629020544,118894.49249854298,112708.19811160218,115700.11930821961,112144.24577086393,111351.61500859598,112678.21923723584
2025-07-30,109696.3381477073,119586.4190254326,113337.66281613929,116357.16820196163,112977.24713508421,111954.19206675304,112536.32544286818
2025-07-31,110654.63606641104,120252.60605229455,113410.10642722866,117351.99570567685,112259.70028035452,113066.92901642923,112114.18269413976
2025-08-01,107672.88152139272,118028.99014346153,111871.37921890631,115109.80704564178,109149.3309760251,111549.50691691387,110276.57530747459
2025-08-04,110187.46444146521,121052.83975313774,114340.21582727696,118095.25169214743,111299.65924556118,114227.31137135897,111952.7556380244
2025-08-05,109541.18002396399,120157.58181087965,113794.13425181601,117322.63309328168,110825.92662501668,113489.87313277177,111385.1586843422
2025-08-06,109774.17481073606,120340.86258980157,113444.10690170033,117224.00079872354,111052.13153791933,113367.88438094252,112238.33976421147
2025-08-07,110314.33372880255,121061.74170487325,113839.72142500068,117688.91862942599,111582.83719842746,114350.1586672217,112144.32097090539
2025-08-08,111051.04167065804,122152.81151582417,114475.58277175913,118397.7567061581,112392.40835031388,115654.24761260502,113018.77740944522
2025-08-11,110952.09162864716,121677.40379291738,114391.96426215835,118118.63013902011,111901.8282541761,115068.49511400633,112795.28815045266
2025-08-12,112262.4610318681,123760.64618713873,116231.68903071321,120474.27341373915,113409.52077551762,116887.65840766176,113996.11555938618
2025-08-13,111558.69050089478,122779.52972741677,115842.92076224649,119743.16803750659,113164.5157369709,117266.46850786812,114386.33438200303
2025-08-14,112012.32477378649,122529.4477575182,115999.17657059626,119772.21921823418,113235.36410187923,116981.18319248865,114396.97206133833
2025-08-15,111526.70292463893,121521.56116549016,115404.8652433998,119112.95011238205,112553.49844554414,116056.58367548713,114129.14643565875
2025-08-18,111507.74089364421,121243.41226583357,115202.63700597466,118683.07028016745,112238.37301020035,115688.30425289868,114104.29977829632
2025-08-19,108416.42457903428,117638.6992128172,112485.98055056161,115008.24219913113,109112.36671439784,113485.59237819415,113485.26741296641
2025-08-20,107689.32155296054,117421.7807373064,112433.01047865655,114710.4289481856,108706.89922209684,113311.80886892672,113183.73221182935
2025-08-21,107381.63052352643,116937.34457630465,112057.78908040946,114165.2949589641,108092.4122962399,112858.64073090754,112729.65464888359
2025-08-22,109076.12801791975,118532.97199695928,113744.18717445072,116158.13860890857,109955.08604693104,115064.05610792602,114460.83080166722
2025-08-25,108851.98638370102,117995.9814981415,112966.9966989514,115610.93280909237,109313.52176444708,114619.24251263114,113957.0708121024
2025-08-26,109617.42932767424,119707.37611236096,114498.5817990443,117220.23308221938,110356.37861297705,115848.86261279539,114434.2202711704
2025-08-27,109974.11163596078,119843.89919963675,114823.64221962844,117357.15695561533,110558.93304824778,115871.27462788858,114694.95773999505
2025-08-28,111217.19623822579,120984.9940471118,115763.81994019866,118299.98006952938,111331.36486963822,116386.9567696513,115101.13852566767
2025-08-29,108655.00314435137,118100.9012907795,113768.1683374301,115483.59438202334,108869.31489179797,115115.17669014976,114414.70878563428
2025-09-02,107939.28540299166,117597.60377432664,113270.78337639704,115114.54186114989,108413.37137032427,114795.6619269729,113566.86287759132
2025-09-03,108430.84161438583,117602.74206382387,112163.55514103979,114701.81795342879,107942.56943093678,114380.66052887143,114182.34572044088
2025-09-04,109030.45427273378,118640.25381374282,112695.91123106593,115623.98819252063,108242.15013190577,114910.4088445916,115136.61197425962
2025-09-05,108602.92256794444,117986.58218686406,111372.39560343657,115650.6407171295,107517.88370057275,113872.45208949911,114803.15284701096
2025-09-08,108745.86138761435,118622.12715214187,111725.35882666208,116089.69110185192,107839.17219808455,114447.3897209243,115085.17656261193
2025-09-09,110682.8688468452,119204.49793868275,112471.66324735119,116364.76581741276,108015.07310565421,114724.32159167354,115351.23831515705
2025-09-10,110959.53644914973,121346.4150912467,112064.83575390223,117701.19806829831,110673.42670451466,117479.34596695182,115684.70833051148
2025-09-11,111959.49578590332,120473.58564609461,112081.04185329624,116310.32832108677,110087.9382948796,116365.24888239066,116646.0736292909
