date,configured_baseline_value,ridge_walkforward_value,tree_walkforward_value,mlp_walkforward_value,tcn_walkforward_value,hybrid_sequence_walkforward_value,lstm_walkforward_value,transformer_walkforward_value,benchmark_value
2025-09-19,114781.01737404232,121415.4880345099,111891.10986254252,119380.38351751275,112307.40925407139,116053.6184001571,111292.25973239934,120247.8137785641,118053.29437866347
2025-09-22,114437.89645671844,121613.7977797326,111153.68029704486,118276.096665993,112458.33937470382,116252.4146843819,110529.36112752485,120180.62972540982,118611.80870051513
2025-09-23,115364.97157143384,121208.0682649012,111053.1801394004,118747.68768523738,112621.20665105648,116187.79605445055,111282.04063232064,120690.87331825172,117966.14288663518
2025-09-24,116093.42202361536,120647.1408565379,111178.74003825568,119599.16882057145,113455.74036067977,115846.22575406569,112229.82814746481,121684.65944515716,117590.81655852222
2025-09-25,117145.38654128712,120151.53507857994,110829.7029381685,119974.99163069195,114400.2704193907,115766.10732851608,113407.71657982873,122939.6905665253,117048.31920878122
2025-09-26,118371.45514972771,120408.63384296256,111722.30095817601,121007.23593494583,114817.87812501057,115753.92272701663,115031.04768653342,123807.16771421862,117718.89789294614
2025-09-29,117547.34528729922,120303.52855122805,110927.94498789511,120199.33978678266,114175.36688278384,115445.53865795484,113656.78020018114,122554.86616136802,118049.7338416953
2025-09-30,116844.1759953554,120468.81995508152,109976.80300857597,119599.26195834842,114353.49425213516,116066.50838317182,112628.28274435503,122254.70253476627,118494.40897699572
2025-10-01,117855.48166936732,119658.60588016064,109027.05201507447,118997.90314865782,115223.19813293482,116614.72768252499,113803.30590156995,124018.57565767913,118898.1869353773
2025-10-02,118268.78619897117,119145.80067650236,108437.39495696618,118623.2487453306,115465.69547911176,116765.75684176324,114173.14202251231,124962.1131651661,119035.13150249876
2025-10-03,118029.50267815926,119649.50155736065,109066.40331024826,118853.06441372639,115500.88571536056,116861.26956749614,114121.62492311654,125054.75065437538,119033.36756675305
2025-10-06,118495.22498033648,119802.09990128953,109458.38945614692,119181.58018085686,116099.6537344258,117448.36173279867,114482.4557912399,125268.41358206577,119460.25090570487
2025-10-07,118051.42049015067,119754.70874528722,109126.99799359644,118860.22211062393,116026.06860771676,117399.03133359744,114120.61827487794,124902.09280855095,119017.35059464243
2025-10-08,118345.88242381603,119906.68514051888,108506.59108036797,118974.86099582286,116338.081715481,117631.5371381251,114966.53566049684,126027.89079972041,119727.06251998046
2025-10-09,118578.57147878858,119626.11932104317,107982.73387073883,118655.11750501316,115437.73508806186,117438.44435957367,115072.64435228077,126433.51156823321,119380.20959912062
2025-10-10,115416.3952090976,117170.36819417826,106310.45349327214,116201.81227880988,112745.33202894562,114304.00481098708,112174.13463412787,122860.3032282715,116153.62268848204
2025-10-13,118433.6943160742,118836.20324163018,108261.55981142349,118110.51199499621,114208.28080333093,116544.05761393183,113990.18217134746,126665.10075298778,117935.89465514407
2025-10-14,117252.72015555775,119165.4477371336,108723.0132160376,118506.89855059292,114358.08457374717,116039.82371950819,112947.3393009688,124456.87872988697,117791.81812559403
2025-10-15,118405.53221722982,119228.25145431608,109083.9076719204,118978.76587701506,115449.84379480385,116967.40633426388,113910.06630244822,125989.41251359346,118314.75974324072
2025-10-16,118102.44278569288,118509.10626105146,108079.03899073436,118409.66671323063,114952.36204524564,116131.95806461903,113981.35585042206,126473.18030492234,117509.0113161923
2025-10-17,117673.14902321971,119282.68287782988,108541.0494114204,119081.08402545295,116021.39872804102,116814.26512328748,114085.83923102624,126116.92401347803,118176.02946338906
2025-10-20,118777.42288963559,120018.51504567137,109532.49553394246,119940.45496372145,117417.36514180574,118198.9573805421,114459.61777115938,126668.99204694547,119405.11158091333
2025-10-21,118209.73375454922,119808.77516652852,108893.46703805354,119387.91533210006,117414.40287776134,117724.55777279752,114391.63661137808,125682.9601239548,119403.32586818312
2025-10-22,116447.74903708781,119022.75958771935,108186.72189503204,118420.79874691123,116653.70359475544,116568.5900705043,113783.47104916153,125071.62371890311,118782.56203609586
